Top 20 phoneme n-grams for each trained language.
Models most frequent clusters of speech sounds 
(bigrams, trigrams, 4-grams) in a given language, 
based on training materials.

Interesting: if you can read IPA characters, and
have some knowledge of a language, you might be 
able to guess the language corresponding to a
list of most common co-occurring speech sounds!

en:                     count   logprob
('ə', 'n'):     353,    -3.0815980465256376
('n', 'd'):     153,    -3.9176281820664993
('ə', 'l'):     149,    -3.9441197975134754
('ð', 'ə'):     122,    -4.144045058725678
('ʃ', 'ə'):     112,    -4.2295672321638405
('ʌ', 'v'):     93,     -4.415466610305679
('t', 'uː'):    88,     -4.470729288980729
('n', 't'):     87,     -4.482157984804351
('ɪ', 'n'):     83,     -4.529225495662336
('ɔ', 'ɹ'):     83,     -4.529225495662336
('t', 'ə'):     80,     -4.566039468785053
('ɹ', 'iː'):    79,     -4.578618250991913
('ɛ', 'n'):     78,     -4.591357276769343
('aɪ', 't'):    71,     -4.685386226417619
('d', 'ɪ'):     68,     -4.728558398282828
('ɹ', 'aɪ'):    64,     -4.789183020099263
('n', 'ə'):     62,     -4.820931718413843
('ə', 'k'):     61,     -4.837192239285623
('s', 'ə'):     60,     -4.853721541236834
('ɹ', 'ə'):     60,     -4.853721541236834

en:                     count   logprob
('ə', 'n', 'd'):        119,    -4.169072590200711
('ʃ', 'ə', 'n'):        96,     -4.383847891844404
('ɹ', 'aɪ', 't'):       55,     -4.94086289807977
('eɪ', 'ʃ', 'ə'):       48,     -5.076995072404349
('m', 'ə', 'n'):        44,     -5.1640064493939795
('ɑː', 'ɹ', 't'):       36,     -5.36467714485613
('ə', 'k', 'ə'):        36,     -5.36467714485613
('ə', 'n', 't'):        35,     -5.392848021822827
('k', 'ə', 'l'):        35,     -5.392848021822827
('t', 't', 'uː'):       34,     -5.421835558696079
('ə', 'l', '.'):        33,     -5.45168852184576
('ð', 'ə', 'ɹ'):        33,     -5.45168852184576
('z', 'ð', 'ə'):        32,     -5.482460180512514
('v', 'ɹ', 'iː'):       32,     -5.482460180512514
('t', 'ə', 'k'):        32,     -5.482460180512514
