aah,ˈ ɑː
aardvark,ˈ ɑː d v ɑː k
aardvarks,ˈ ɑː d v ɑː k s
aardwolf,ˈ ɑː d w ʊ l f
aba,ɐ b ˈ æ
abaca,æ b ˈ æ k ɐ
aback,ɐ b ˈ æ k
abacus,ˈ æ b æ k ə s
abacuses,ˈ æ b ɐ k ə s ɪ z
abalone,ɐ b ˈ æ l əʊ n
abandon,ɐ b ˈ æ n d ə n
abandoned,ɐ b ˈ æ n d ə n d
abandoning,ɐ b ˈ æ n d ə n ɪ ŋ
abandonment,ɐ b ˈ æ n d ə n m ə n t
abandons,ɐ b ˈ æ n d ə n z
abas,ɐ b ˈ æ z
abase,ɐ b ˈ eɪ s
abasement,ɐ b ˈ eɪ s m ə n t
abashed,ɐ b ˈ æ ʃ t
abate,ɐ b ˈ eɪ t
abated,ɐ b ˈ eɪ t ɪ d
abatement,ɐ b ˈ eɪ t m ə n t
abates,ɐ b ˈ eɪ t s
abating,ɐ b ˈ eɪ t ɪ ŋ
abattoir,ˈ æ b ɐ t w ˌ ɑː
abattoirs,ˈ æ b ɐ t w ˌ ɑː z
abba,ˈ æ b ɐ
abb,ˈ æ b
abbess,ˈ æ b ɛ s
abbesses,ˈ æ b ɛ s ɪ z
abbey,ˈ æ b i
abbeys,ˈ æ b i z
abbot,ˈ æ b ə t
abbots,ˈ æ b ə t s
abbreviate,ɐ b ɹ ˈ iː v ɪ ˌ eɪ t
abbreviated,ɐ b ɹ ˈ iː v ɪ ˌ eɪ t ɪ d
abbreviates,ɐ b ɹ ˈ iː v ɪ ˌ eɪ t s
abbreviating,ɐ b ɹ ˈ iː v ɪ ˌ eɪ t ɪ ŋ
abbreviation,ɐ b ɹ ˌ iː v ɪ ˈ eɪ ʃ ə n
abbreviations,ɐ b ɹ ˌ iː v ɪ ˈ eɪ ʃ ə n z
abdicate,ˈ æ b d ɪ k ˌ eɪ t
abdicated,ˈ æ b d ɪ k ˌ eɪ t ɪ d
abdicates,ˈ æ b d ɪ k ˌ eɪ t s
abdicating,ˈ æ b d ɪ k ˌ eɪ t ɪ ŋ
abdication,ˌ æ b d ɪ k ˈ eɪ ʃ ə n
abdomen,ˈ æ b d ə m ə n
abdomens,ˈ æ b d ə m ə n z
abdominal,æ b d ˈ ɒ m ɪ n ə l
abduct,ɐ b d ˈ ʌ k t
abducted,ɐ b d ˈ ʌ k t ɪ d
abducting,ɐ b d ˈ ʌ k t ɪ ŋ
abduction,ɐ b d ˈ ʌ k ʃ ə n
abductions,ɐ b d ˈ ʌ k ʃ ə n z
abductor,ɐ b d ˈ ʌ k t ɐ
abductors,ɐ b d ˈ ʌ k t ə z
abducts,ɐ b d ˈ ʌ k t s
abeam,ɐ b ˈ iː m
abed,ɐ b ˈ ɛ d
aberrant,ɐ b ˈ ɛ ɹ ə n t
aberration,ˌ æ b ə ɹ ˈ eɪ ʃ ə n
aberrations,ˌ æ b ə ɹ ˈ eɪ ʃ ə n z
abet,ɐ b ˈ ɛ t
