headword,pronunciation
-acz,a t ʃ̑
-anka,ˈ ã ŋ k a
-ant,ã n t
-arka,ˈ a r k a
-arz,a ʃ
-aty,ˈ a t ɨ
-awy,ˈ a v ɨ
-ba,b a
-by,b ɨ
-centryzm,ˈ t s̑ ɛ̃ n t r ɨ s m̥
-ek,ɛ k
-fagia,ˈ f a ɟ j a
-filia,ˈ fʲ i lʲ j a
-fobia,ˈ f ɔ bʲ j a
-ik,i k
-in,ĩ n
-iny,ˈ ĩ n ɨ
-isko,ˈ i s k ɔ
-iwo,ˈ i v ɔ
-izm,i s m̥
-ka,k a
-ko,k ɔ
-letni,ˈ l ɛ tʲ ɲ i
-lit,lʲ i t
-liwy,ˈ lʲ i v ɨ
-lnia,lʲ ɲ a
-log,l ɔ k
-logia,ˈ l ɔ ɟ j a
-metria,ˈ m ɛ t rʲ j a
-naście,ˈ n a ɕ ʨ̑ ɛ
-nia,ɲ a
-onim,ˈ ɔ̃ ɲ ĩ m
-ota,ˈ ɔ t a
-owa,ˈ ɔ v a
-owiec,ˈ ɔ vʲ j ɛ t s̑
-ość,ɔ ɕ ʨ̑
-plegia,ˈ p l ɛ ɟ j a
-pol,p ɔ l
-skop,s k ɔ p
-stych,s t ɨ x
-terapia,t ɛ ˈ r a pʲ j a
-tomia,ˈ t ɔ̃ mʲ j a
-wieczny,ˈ vʲ j ɛ t ʃ̑ n ɨ
-yk,ɨ k
-ysko,ˈ ɨ s k ɔ
-yzm,ɨ s m̥
-ż,ʒ
-ż,ʃ
-że,ʒ ɛ
0.,z ɛ ˈ r ɔ v ɨ
1.,ˈ pʲ j ɛ r f ʃ ɨ
10.,ʥ̑ e ˈ ɕ ɔ̃ n t ɨ
2.,ˈ d r u ɟ i
3.,ˈ ṭ ʃ ɛ ʨ̑ i
4.,ˈ t ʃ̑ f a r t ɨ
5.,ˈ pʲ j ɔ̃ n t ɨ
6.,ˈ ʃ u s t ɨ
7.,ˈ ɕ u d m ɨ
8.,ˈ u s m ɨ
9.,ʥ̑ ɛ ˈ vʲ j ɔ̃ n t ɨ
a,a
a-dur,ˈ a d u r
aa,a ˈː
abc,a b ɛ ˈ t s̑ ɛ
abs,a b ɛ ˈː s
ac,a ˈ t s̑ ɛ
agd,a ɟ ɛ ˈ d ɛ
agh,a ɟ ɛ ˈ x a
ak,a ˈ k a
al,a ˈ ɛ l
am,a ˈ ɛ̃ m
apt,a p ɛ ˈ t ɛ
arn,a ɛ r ˈ ɛ̃ n
asp,a ɛ s ˈ p ɛ
au,a ˈ u
awf,a v u ˈ ɛ f
aws,a v u ˈ ɛ s
azs,a z ɛ t ˈ ɛ s
aaron,a ˈː r ɔ̃ n
ab,ˈ c ɕ ɛ̃ ŋ ɡ a ː b ˈ dʲ j a ʃ a
abadan,a ˈ b a d ã n
abakan,a ˈ b a k ã n
abakuk,a ˈ b a k u k
abchaz,ˈ a p x a s
abchazja,a p ˈ x a zʲ j a
abchazka,a p ˈ x a s k a
abdon,ˈ a b d ɔ̃ n
abel,ˈ a b ɛ l
