headword,p r o n u n c i a t i o n
𠻺,aː ˨
㝞,aː ˥
㰳,"aː ˥, aː ˧"
aa制,e i ˥   e i ˥   t s ɐ i ˧
account,aː ˨   kʰ aː ŋ ˥
㙠,aː i ˧
㢊,aː i ˧ ˥
㗨,"aː i ˧ ˥, h ɐ i ˨"
㶭,"aː i ˧ ˥, ɐ i ˥, t s aː u ˧ ˥"
㵧,"aː i ˧, k ɔː t ˧"
䝈,"aː k ˥, ɐ k ˥"
䧄,"aː k ˥, k ɔː k ˧"
㧖,"aː k ˥, ɐ k ˥, t s iː m ˥"
䄅,"aː ˥, k yː n ˧"
𠮩,"aː ˥, l iː u ˥"
㛺,aː m ˥
䉏,"aː m ˧ ˥, h ɐ i ˨"
㿄,"aː m ˧, ɐ i ˧"
䬓,"aː m ˧, kʰ aː u ˥"
㛪,"aː m ˥, k iː m ˥, h iː m ˥, t s iː m ˥"
䨄,"aː m ˥, ɐ n ˧"
㞄,"aː m ˥, ɐ n ˧ ˥"
䎨,"aː m ˧, t s iː m ˥"
䤷,"aː m ˥, t s iː m ˧ ˥"
㽢,"aː m ˧ ˥, ɐ u ˧ ˥, ɐ u ˧, t s iː p ˨"
䓨,aː ŋ ˥
䞷,"aː ŋ ˥, f aː t ˥, k w aː t ˨"
㔩,aː p ˨
䳬,"aː ˧, p iː t ˧, f ɔː ŋ ˧ ˥, k e i ˧, tʰ o u ˨ ˩, t s ɪ k ˨, t s iː m ˧ ˥"
䅉,"aː ˧, t s iː ˧ ˥"
䁱,aː u ˥
䉩,"aː u ˥, aː u ˥"
䜣,"aː u ˥, aː u ˧ ˥, w aː ˨, t s aː n ˥, t s iː n ˥"
㔚,"aː u ˧ ˥, h aː u ˧ ˥"
㺫,"aː u ˧, kʰ aː u ˨ ˩"
䙔,"aː u ˥, t s aː u ˥, t s ɐ t ˧, t s iː m ˧ ˥"
䢕,"aː u ˥, t s ʊ k ˥, t s ʊ ŋ ˧ ˥"
a貨,e i ˥   f ɔː ˧
bb,p iː ˥   p iː ˥
bb,p iː ˨ ˩   p iː ˥
bb仔,p iː ˨ ˩   p iː ˥   t s ɐ i ˧ ˥
bb女,"p iː ˨ ˩   p iː ˥   n ɵ y ˧ ˥, p iː ˨ ˩   p iː ˥   l ɵ y ˧ ˥"
bb機,p iː ˥   p iː ˥   k e i ˥
bb車,p iː ˨ ˩   p iː ˥   t sʰ ɛː ˥
bio,p ɐ i ˨   ɔː ˥
book,p ʊ k ˥
book位,p ʊ k ˥   w ɐ i ˧ ˥
book唔到位,p ʊ k ˥   m ̩ ˨ ˩   t o u ˧ ˥   w ɐ i ˧ ˥
book機票,p ʊ k ˥   k e i ˥   pʰ iː u ˧
book酒店,p ʊ k ˥   t s ɐ u ˧ ˥   t iː m ˧
b,p iː ˥
caim,kʰ ɛː m ˥
caim保險,kʰ ɛː m ˥   p o u ˧ ˥   h iː m ˧ ˥
caim稅,kʰ ɛː m ˥   s ɵ y ˧
call,kʰ ɔː ˥
call人,kʰ ɔː ˥   j ɐ n ˨ ˩
call台,kʰ ɔː ˥   tʰ ɔː i ˨ ˩
call機,kʰ ɔː ˥   k e i ˥
call機肉,kʰ ɔː ˥   k e i ˥   j ʊ k ˨
call白車,kʰ ɔː ˥   p aː k ˨   t sʰ ɛː ˥
call車,kʰ ɔː ˥   t sʰ ɛː ˥
cancer,kʰ ɛː n ˥   s aː ˧ ˥
