headword,pronunciation
!EXCLAMATION-POINT,ˌ ɛ k s k l ə ˈ m eɪ ʃ ə n ˌ p ɔɪ n t
"""CLOSE-QUOTE",ˈ k l oʊ z ˈ k w oʊ t
"""DOUBLE-QUOTE",ˈ d ʌ b ə l ˈ k w oʊ t
"""END-OF-QUOTE",ˈ ɛ n d ə v ˈ k w oʊ t
"""END-QUOTE",ˈ ɛ n d ˈ k w oʊ t
"""IN-QUOTES",ˈ ɪ n ˈ k w oʊ t s
"""QUOTE",ˈ k w oʊ t
"""UNQUOTE",ˈ ʌ n ˈ k w oʊ t
#HASH-MARK,ˈ h æ ˌ m ɑː ɹ k
#POUND-SIGN,ˈ p aʊ n d ˌ s aɪ n
#SHARP-SIGN,ˈ ʃ ɑː ɹ p ˌ s aɪ n
%PERCENT,p ɝ ˈ s ɛ n t
&AMPERSAND,ˈ æ m p ɝ ˌ s æ n d
'ALLO,ˌ ɑː ˈ l oʊ
'APOSTROPHE,ə ˈ p ɑː s t ɹ ə f i
'BOUT,ˈ b aʊ t
'CAUSE,k ə z
'COURSE,ˈ k ɔ ɹ s
'CUSE,ˈ k j uː z
'EM,ə m
'END-INNER-QUOTE,ˈ ɛ n ˈ d ɪ n ɝ ˈ k w oʊ t
'END-QUOTE,ˈ ɛ n d ˈ k w oʊ t
'FRISCO,ˈ f ɹ ɪ s k oʊ
'GAIN,ˈ g ɛ n
'INNER-QUOTE,ˈ ɪ n ɝ ˈ k w oʊ t
'KAY,ˈ k eɪ
'M,ə m
'N,ə n
'QUOTE,ˈ k w oʊ t
'ROUND,ˈ ɹ aʊ n d
'S,ˈ ɛ s
'SINGLE-QUOTE,ˈ s ɪ ŋ g ə l ˈ k w oʊ t
'TIL,ˈ t ɪ l
'TIS,ˈ t ɪ z
'TWAS,ˈ t w ʌ z
(BEGIN-PARENS,b ɪ ˈ g ɪ n p ɝ ˈ ɛ n z
(IN-PARENTHESES,ˈ ɪ n p ɝ ˈ ɛ n θ ə ˌ s iː z
(LEFT-PAREN,ˈ l ɛ f t p ɝ ˈ ɛ n
(OPEN-PARENTHESES,ˈ oʊ p ə n p ɝ ˈ ɛ n θ ə ˌ s iː z
(PAREN,p ɝ ˈ ɛ n
(PARENS,p ɝ ˈ ɛ n z
(PARENTHESES,p ɝ ˈ ɛ n θ ə ˌ s iː z
)CLOSE-PAREN,ˈ k l oʊ z p ɝ ˈ ɛ n
