headword,pronunciation
-a,a
-emia,e ˈ m i a
6,s ɛ j
achille,a ˈ k i l l e
achillea,a k i l ˈ l e a
aci,ˈ aː t ʃ i
aci,ˈ a t ʃ i
aci,a t ʃ i
adamo,a ˈ d a m o
adelfa,a ˈ d e l f a
adelfo,a ˈ d e l f o
agadir,a g a ˈ d iː r
agadir,a ˈ g a d i r
agadir,a g a ˈ d i r
agnello,a ˈ ɲ ɲ ɛ l l o
aidone,A i ˈ d o n e
algeria,a l d ʒ e ˈ r i a
alpe,ˈ a l p e
alpi,ˈ a l p i
america,a ˈ m ɛ r i k a
andrea,a n ˈ d r ɛː a
annunciazione,a n n u n t ʃ a t ˈ t s j o n e
aosta,a ˈ ɔ s t a
apocalisse,a p o k a ˈ l i s e
appennini,
aquario,a ˈ k w a r j o
ariete,a ˈ r j ɛ t e
ariete,a ˈ r i e t e
ascendente,a ʃ e n ˈ d e n t e
ascendenti,a ʃ e n ˈ d e n t i
ascensione,a ʃ ʃ e n ˈ s j o n e
assam,ɔ x ɔ m
astra,ˈ a s t r a
astro,ˈ a s t r o
austria,ˈ a u s t r i a
berna,ˈ B e r n a
bilancia,b i ˈ l a n t ʃ a
bologna,b o ˈ l o ɲ ɲ a
bolzano,b ɔ ˈ l t s a n o
brasile,b r a ˈ z i l e
bressanone,b r e s s a ˈ n o n e
brindisi,ˈ b r i n d i z i
cagliari,ˈ k a ʎ ʎ a r i
calangianus,k a l a n ˈ d ʒ a n u s
caltanissetta,k a l t a n i s ˈ s e t t a
campania,k a m ˈ p a n j a
cancro,ˈ k a n k r o
cancro,ˈ k a ŋ k r o
capricorno,k a p r i ˈ k ɔ r n o
casalmaggiore,c a s à l ˈ m a g g i ó r e
catania,k a ˈ t a n j a
catia,ˈ k a t j a
cazari,k a d ˈ d z aː r i
cazari,k a ˈ d z a r i
cechia,ˈ t ʃ ɛ k j a
cechia,ˈ t ʃ ɛː k j a
cekia,ˈ t ʃ ɛ k j a
cekia,ˈ t ʃ ɛː k j a
cesare,ˈ t ʃ eː z a r e
cesio,ˈ t ʃ ɛ z j o
ceva,t ʃ e v a
chiara,ˈ k j a r a
china,ˈ k i n a
cigno,ˈ t ʃ i ɲ ɲ o
colibrì,k o l i ˈ b r i
colossesi,k o l o ˈ s e z i
conifere,k o ˈ n i f e r e
corinzi,k o ˈ r i n t s i
cosa,ˈ k ɔ s a
cosa,ˈ k ɔː s ä
cose,ˈ k ɔ s e
cose,ˈ k ɔː s e
cosi,ˈ k ɔ s i
cosi,ˈ k ɔː s i
coso,ˈ k ɔ s o
coso,ˈ k ɔː s o
debrecen,ˈ d ɛ b r ɛ t s ɛ n
dera,ˈ d e r a
derio,ˈ d ɛ r j o
dermotteri,d e r ˈ m ɔ t t e r i
dero,d e ˈ z i n o
desidera,d e ˈ z i d e r a
desideria,d e z i ˈ d ɛ r j a
desiderio,d e z i ˈ d ɛ r j o
desio,ˈ d ɛ z j o
dinosauri,d i n o ˈ s a w r i
diodata,D i o ˈ d a t a
diodato,D i o ˈ d a t o
ditteri,ˈ d i t t e r i
ebrei,e ˈ b r e i
