headword,pronunciation
-арад,ɐ ˈ r ä t̪
-арад,ɐ ˈ r ä d̪ ɨ
-арий,ˈ ä rʲ ɪ ɪ̯ ɪ
-арий,ˈ ä rʲ ɪ ɪ̯
sim-карта,с и м к а́ р т а
sim-карта,с и м к а́ р т ы
v-образный,в э о б р а́ з н ы й
v-образный,в э о б р а́ з н ы е
y-образный,и́ г р е к о б р а́ з н ы е
y-образный,и́ г р е к о б р а́ з н ы й
z-образный,з э т о б р а́ з н ы е
z-образный,з э т о б р а́ з н ы й
ёбург,ˈ j o̞ b ʊ r ɡʲ ɪ
ёбург,ˈ j o̞ b ʊ r k
абаба,ɐ ˈ b ä b ɨ
абаба,ɐ ˈ b ä b ə
абрам,ʌ ˈ b r a m
абрам,ʌ ˈ b r a m ɨ
абубакир,ɐ b ʊ b ɐ ˈ kʲ i r
абхазия,А б х а́ з и и
абхазия,А б х а́ з и я
август,А́ в г у с т
август,А́ в г у с т ы
авдей,a v ˈ dʲ ɛ j
авдей,a v ˈ dʲ ɛ i
авзония,ɐ ˈ v z̪ o nʲ ɪ ɪ
авзония,ɐ ˈ v z̪ o nʲ ɪ j ə
аврора,ɐ ˈ v r o r ə
аврора,ɐ ˈ v r o r ɨ
аган,ɐ ˈ ɡ ɑ n
аган,
адам,А д а́ м
адам,А д а́ м ы
адвент,ɐ d̪ ˈ vʲ e n̪ t̪ ɨ
адвент,ɐ d̪ ˈ vʲ e n̪ t̪
адель,ɐ ˈ d̪ ɛ lʲ
адель,ɐ ˈ d̪ ɛ lʲ ɪ
адонис,ɐ ˈ d̪ o nʲ ɪ s̪ ɐ d̪ ɐ ˈ nʲ i s̪
адонис,ɐ ˈ d̪ o nʲ ɪ s̪ ɨ ɐ d̪ ɐ ˈ nʲ i s̪ ɨ
азраил,ɐ z̪ r ɐ ˈ i ɫ ɨ
азраил,ɐ z̪ r ɐ ˈ i ɫ
аида,а и́ д а
аида,а и́ д ы
айболит,А й б о л и́ т
айболит,А й б о л и́ т ы
ак,а́ к и
аквинский,А к в и́ н с к и й
аквинский,А к в и́ н с к и е
аким,ɐ ˈ kʲ i m ɨ
аким,ɐ ˈ kʲ i m
алан,ɐ ˈ ɫ a n̪ ɨ
алан,ɐ ˈ ɫ a n̪
алевтина,А л е в т и́ н ы
алевтина,А л е в т и́ н а
александр,ɐ lʲ ɪ ˈ k s a n d r
александр,ɐ lʲ ɪ ˈ k s a n d r ɨ
алефтина,А л е ф т и́ н ы
алефтина,А л е ф т и́ н а
алечка,А́ л е ч к а
алечка,А́ л е ч к и
алешковский,ɐ lʲ ɪ ˈ ʂ k o̞ f s̪ kʲ ɪ ɪ
алешковский,ɐ lʲ ɪ ˈ ʂ k o̞ f s̪ kʲ ɪ ɪ̯ ɐ lʲ ɪ ˈ ʂ k o̞ f s̪ k ə ɪ̯ ə
алиса,ɐ ˈ lʲ i s ɨ
алиса,ɐ ˈ lʲ i s ə
алла,А́ л л а
