headword,pronunciation
açelya,a ˈ t͡ ʃ e l j a ˈ l a ɾ
açelya,a ˈ t͡ ʃ e l j a
gülsüm,ˈ y m m y g y l ˈ s y m ˈ l e ɾ
gülsüm,ˈ y m m y g y l s y m ˈ l e ɾ
hidayet,h i d a ˈ j e t
hidayet,h i d a j e t ˈ l e ɾ
veli,v e ˈ l i
veli,v e l i ˈ l e ɾ
zeynep,z e j n e p ˈ l e ɾ
zeynep,z e j ˈ n e p
abd,a b d ˈ l a ɾ
abd,ˈ a b d ˈ l a ɾ
abdomen,a p ˈ d ɔ m ɛ n
ad,a d ˈ l a ɾ
ad,ˈ a d
adale,ˤ a ḍ a l e
adda,a d ˈ d a
addan,a d ˈ d a n
adın,a ˈ d ɯ n
affetme,ˈ a f f e t m e
affetme,ˈ a f f e t m e ˈ l e ɾ
ahize,a h i z e
ahududu,l a n g t r
ahududu,ɑː h ʋ d ʋ d ʋ
aile,a i l e ˈ l e ɾ
aile,a i ˈ l e
akarsu,a c ˈ a ɾ s u
akarsu,a c ˈ a ɾ s u ˈ l a ɾ
akbaba,ˈ a c b a b a
akbaba,ˈ a c b a b a ˈ l a ɾ
akrabalar,a k ɾ a b a ˈ l a ɾ
akıl,a k ɯ l ˈ l a ɾ
akıl,a ˈ k ɯ l
akılla,a ˈ k ɯ l l a
akıllar,a k ɯ l ˈ l a ɾ
altyazı,l a n g t r
altyazı,ɑ ɫ t j ɑ ʐ ɯ
altıgen,a l ˈ t ɯ g e n
altıgen,a l ˈ t ɯ g e n ˈ l e ɾ
ambalajlama,a m b a l a ʒ l a ˈ m a
ambalajlama,a m b a l a ʒ ˈ l a m a
ambalajlamalar,a m b a l a ʒ l a m a ˈ l a ɾ
ambalajlar,a m b a l a ʒ ˈ l a ɾ
anagram,a n a g ɾ a m ˈ l a ɾ
anagram,a n a g ˈ ɾ a m
analizcik,a n a l i z ˈ d͡ ʒ i c
analizcik,a n a l i z d͡ ʒ i c ˈ l e ɾ
anayasa,a ˈ l a ɾ j a s ˈ l a ɾ
anlatma,a n l a t m a ˈ l a ɾ
anlatma,a n l a t ˈ m a
anlatma,a n ˈ l a t m a
anlatım,a n l a ˈ t ɯ m
anlatım,a n l a t ɯ m ˈ l a ɾ
anneanne,a n ˈ n e a n ˈ n e ˈ l e ɾ
anneanne,a n ˈ n e a n ˈ n e
antrenman,a n t ɾ e n ˈ m a n
antrenmanlar,a n t ɾ e n m a n ˈ l a ɾ
ara,a ˈ ɾ a
ara,a ɾ a ˈ l a ɾ
aralık,ɑ ɾ ɑ ˈ l ɯ k
aralık,ɑ ɾ ɑ l ɯ k ˈ l a ɾ
araç,a ɾ a t͡ ʃ ˈ l a ɾ
araç,a ˈ ɾ a t͡ ʃ
arka,a ɾ k a ˈ l a ɾ
arka,a ɾ ˈ k a
arkadaşları,a ɾ k a d a ʃ l a ˈ ɾ ɯ
arkadaşı,a ɾ k a d a ˈ ʃ ɯ
armutlar,α ɾ m u t ˈ ɫ α ɾ
aruz,a ˈ ɾ u z
